rWthDml@uwaterloo.ca,mukjTVJIs,2226275479,0
MUuS@uwaterloo.ca,PwVFXuqncjt,2245505669,0
eXZyQVKsF@uwaterloo.ca,YsS,1010257279,0
N@uwaterloo.ca,wE,5502297381,0
rwfcj@uwaterloo.ca,oLfuchhGKaYuF,8558182398,0
z@uwaterloo.ca,DrFvhwQavttnh,7602261651,0
hOgDr@uwaterloo.ca,xz,3864096085,0
sydIDuNKwuTx@uwaterloo.ca,QlA,4386603192,0
yTFsFRqAs@uwaterloo.ca,yGMA,5753151643,0
BPtgAkdrH@uwaterloo.ca,RRKDEs,0237314601,0
Vk@uwaterloo.ca,olnWHIx,7396401335,0
lnCguzMAq@uwaterloo.ca,RlxrnpxgLXlPwBW,7421279252,0
fivQbW@uwaterloo.ca,oLfuchhGKaYuF,7138118945,0
m@uwaterloo.ca,cYPrPj,7533978482,0
zieXJSaVa@uwaterloo.ca,gEHat,7654920851,0
zKqycpSgv@uwaterloo.ca,xsIjjOODyAZm,0394156549,0
nmYcT@uwaterloo.ca,qgfZqDzjEePFG,4199417888,0
GYJW@uwaterloo.ca,TOVvtfrINEFDd,3105155456,0
TSkAlXCYUdu@uwaterloo.ca,I,2063172588,0
GFlWfcinQKO@uwaterloo.ca,gEHat,3666802017,0
VPC@uwaterloo.ca,XZkmBMBTzWRoAcf,6423616713,0
HjgF@uwaterloo.ca,PwVFXuqncjt,8129016404,0
JnKQrTYmeTJn@uwaterloo.ca,HqLnS,7872723977,0
TDS@uwaterloo.ca,I,8142878418,0
FBXXtHVD@uwaterloo.ca,xsIjjOODyAZm,7016540839,0
g@uwaterloo.ca,YsS,3089209171,0
COaUP@uwaterloo.ca,LnTlCTwL,4201257757,0
fGDjQFAoYIM@uwaterloo.ca,LnTlCTwL,2939558315,0
QmUmFzLb@uwaterloo.ca,cymiRSqzKVthMsP,3990863182,0
DoNFDJj@uwaterloo.ca,gEHat,2559781888,0
OYFWxVM@uwaterloo.ca,I,8173083730,0
UYtmL@uwaterloo.ca,dwSr,5007801637,0
DxXARcsngw@uwaterloo.ca,qgfZqDzjEePFG,2142099480,0
hk@uwaterloo.ca,q,8407628404,0
j@uwaterloo.ca,sYxUH,9629190550,0
o@uwaterloo.ca,TOVvtfrINEFDd,1812608413,0
jcSqCAMCTqP@uwaterloo.ca,gEHat,8663442616,0
uhSYCSehABOy@uwaterloo.ca,UrDqiJ,2483117227,0
F@uwaterloo.ca,TOVvtfrINEFDd,8879620485,0
QEq@uwaterloo.ca,dlgJt,0266210055,0
WYRt@uwaterloo.ca,olnWHIx,0822142117,0
ZMWwOzywzjT@uwaterloo.ca,XZkmBMBTzWRoAcf,0650013811,0
lnFWYfF@uwaterloo.ca,Qecktb,9499913409,0
UAqusRyeHjY@uwaterloo.ca,iTsTDDPmbKCThIO,7677596988,0
hQRQSdRvavoP@uwaterloo.ca,sYxUH,6131669204,0
ey@uwaterloo.ca,cYPrPj,6908217527,0
wbSmiumgifG@uwaterloo.ca,UrDqiJ,9607034251,0
DHMpGQjHz@uwaterloo.ca,RlxrnpxgLXlPwBW,1421121802,0
MBW@uwaterloo.ca,xsIjjOODyAZm,6073301490,0
i@uwaterloo.ca,XKOmvnfg,5915118604,0
